seqnames	start	end	width	strand	Conc	Conc_TAYN	Conc_Methyl	Fold	p.value	FDR
16	17560052	17560552	501	*	5.54520258474959	6.35163712254292	3.55162888609624	2.5481391850182	3.21024000956437e-16	4.02735678992987e-13
4	122973192	122973692	501	*	5.67808075454793	6.44699025734099	3.92184097754532	2.30922535428268	4.1004815616011e-16	5.05700576045391e-13
8	119956798	119957298	501	*	5.90495029514413	6.62047804227977	4.42264407459946	2.0590253430687	4.42333922930929e-16	5.2671266609451e-13
4	137059452	137059952	501	*	6.41467273628339	7.05256344265169	5.24313382474237	1.71169829813499	4.47715195667179e-16	5.2671266609451e-13
1	164985687	164986187	501	*	6.06238510219596	6.76020506148372	4.65864523916557	1.95402378809854	4.48802073826802e-16	5.2671266609451e-13
8	66511617	66512117	501	*	5.7550912535293	6.49067149763133	4.17703561884314	2.1473451002607	4.75394136636141e-16	5.4906513593739e-13
15	83884579	83885079	501	*	5.88214121389569	6.59781459997002	4.39916662793231	2.04945147705849	4.95419246284847e-16	5.63252978397255e-13
12	91647630	91648130	501	*	5.91400461214556	6.65313266344247	4.31818093726088	2.17256151732089	5.4055423583383e-16	6.05113044030415e-13
4	3067709	3068209	501	*	6.18995631562211	0	7.18995631562211	-8.99422207175129	6.80508922097665e-16	7.50240465130188e-13
17	6492599	6493099	501	*	7.10007759247828	7.68318708423825	6.10562238189938	1.50754872159035	7.1577697604491e-16	7.77344479223221e-13
17	44028685	44029185	501	*	6.18817706440325	6.89309358838578	4.75357792109164	1.97877949353208	8.12318414298565e-16	8.69216540876566e-13
9	41523932	41524432	501	*	5.2149853483711	6.10568573245292	2.43827441316362	3.27103880019819	8.54878820389084e-16	9.01500689970593e-13
5	113738561	113739061	501	*	6.26266764611484	6.93219597373698	4.97441672762631	1.82933792226326	9.08837269877923e-16	9.44710375258961e-13
13	12930740	12931240	501	*	5.56667177932236	3.58543011176589	6.37132691779478	-2.49142394242798	1.05851116063758e-15	1.08479503635876e-12
17	17167649	17168149	501	*	6.69591077405136	7.29970711817441	5.63788750795051	1.57977083161275	1.28425410220114e-15	1.29437784143425e-12
13	53110993	53111493	501	*	6.17757258581702	6.84841494941154	4.88420573104273	1.83640324459608	1.29859382412353e-15	1.29437784143425e-12
17	83412673	83413173	501	*	5.45031906062031	6.27242364391437	3.3426201049972	2.62990925111783	1.48125063830564e-15	1.45648973236531e-12
3	131329919	131330419	501	*	5.56676808769726	6.36777655779248	3.61042832163806	2.51435446008146	1.52367222481166e-15	1.47822616125294e-12
11	3130689	3131189	501	*	6.06539495515971	0	7.06539495515971	-8.87764368399763	1.7334062625631e-15	1.6595768405642e-12
9	99493867	99494367	501	*	5.44567065745817	6.26165550257306	3.38377102714156	2.60412435607187	1.79888109887699e-15	1.69989591425437e-12
1	21360413	21360913	501	*	5.32262739349557	6.16855021705238	3.01923307419356	2.84427586324293	1.8566898323214e-15	1.73202977268208e-12
17	84613969	84614469	501	*	6.78986735787991	7.40095114571386	5.70853995638211	1.60597988024747	2.08375341340694e-15	1.89548722578551e-12
17	16759616	16760116	501	*	5.36196833798071	6.22159787522271	2.93089705453028	2.98987415961601	2.08401217738192e-15	1.89548722578551e-12
8	125679845	125680345	501	*	5.68352881080603	6.44898434097017	3.94701202629191	2.31454872408774	2.14692099135486e-15	1.92859768017226e-12
1	85277577	85278077	501	*	6.01902117474112	0	7.01902117474112	-8.83356391979657	2.44020295001946e-15	2.16532301527153e-12
10	108094559	108095059	501	*	5.62232528143648	6.37497113770565	3.95629844241393	2.22731362110506	2.61132118418704e-15	2.28924775090363e-12
1	85246754	85247254	501	*	5.28369544781453	0.841470242050154	6.25012598285327	-5.33359185115133	2.81778467097141e-15	2.44083888111777e-12
6	146870964	146871464	501	*	5.87941658762518	6.59775875812453	4.38412722676429	2.06860938902223	2.88632077369154e-15	2.47079245242491e-12
18	81002408	81002908	501	*	5.42418168534947	6.2245474104284	3.47218035676449	2.4993937076596	2.94190274959082e-15	2.48908918335438e-12
17	31431843	31432343	501	*	6.40380282775632	7.03425072541995	5.25805219577065	1.67570740346778	3.24285712380564e-15	2.71218405631574e-12
3	152875149	152875649	501	*	5.98934794628936	6.67676720595706	4.62941277530772	1.91294851382711	3.34218032903467e-15	2.7634894009267e-12
8	118883543	118884043	501	*	5.86864807388547	6.60174140131854	4.302892523976	2.09281446289042	4.06867352710836e-15	3.32639204329197e-12
7	29344376	29344876	501	*	6.22192441349409	6.87014986895488	5.01356589850379	1.74960807138221	4.29606708208004e-15	3.47327476770433e-12
6	139853355	139853855	501	*	5.78369114851586	6.50953086335629	4.25310630019846	2.08044306097515	4.3726639935118e-15	3.49635329846043e-12
11	3165678	3166178	501	*	5.94750184842646	0	6.94750184842646	-8.75938687238194	4.80201202986895e-15	3.79792175357994e-12
15	62217687	62218187	501	*	5.52284141737791	6.32763926942659	3.54061511890805	2.49397978726346	5.72544408000757e-15	4.47957513541495e-12
3	38455879	38456379	501	*	6.20410506147726	6.88635737636997	4.8653331309108	1.86462700042674	7.4435457756459e-15	5.76185873695024e-12
7	34590220	34590720	501	*	5.39688355650589	6.20118960390555	3.41804715225274	2.53451228752644	8.80863223538051e-15	6.74676323518939e-12
2	157560058	157560558	501	*	6.43804375394997	7.06379587606716	5.30826235090079	1.66220713783583	9.76267915159373e-15	7.39960232403556e-12
3	146242182	146242682	501	*	6.2983880015011	6.93941853394836	5.11578961748531	1.70587951802254	1.02215255290829e-14	7.66269214253304e-12
2	147045504	147046004	501	*	5.40031557596623	6.19875672689545	3.46121594027446	2.46656523975912	1.03528276940089e-14	7.66269214253304e-12
15	81423009	81423509	501	*	5.42988893186602	6.24381785283416	3.38301255660144	2.60847075226274	1.04257180450335e-14	7.66269214253304e-12
11	116754314	116754814	501	*	5.41395602359267	3.3345101851235	6.23231147031844	-2.63822989401258	1.10894919965259e-14	8.06904706143214e-12
7	127806111	127806611	501	*	5.33788640470913	6.17323491052536	3.12506467982747	2.72967764368031	1.15572982743674e-14	8.32617519146335e-12
4	123320640	123321140	501	*	5.09641256266919	5.99557321287357	2.20765080888261	3.3933380406214	1.21743261644693e-14	8.60660447063301e-12
14	51435235	51435735	501	*	6.16775721347055	6.82453147948817	4.92800831114321	1.7636970953472	1.21831186245097e-14	8.60660447063301e-12
14	120574262	120574762	501	*	5.84421424758453	6.54332843353833	4.43490668931498	1.96168993860962	1.3788299792501e-14	9.64690440193992e-12
12	18129840	18130340	501	*	5.81194211209746	6.56348527789384	4.15179686817231	2.19285048433797	1.5076233017192e-14	1.04475423145709e-11
13	113026464	113026964	501	*	6.26939332430097	6.91731496718098	5.06213452888707	1.74610337487625	1.530305428251e-14	1.05046805543233e-11
2	169215248	169215748	501	*	5.09195665119984	5.96695611469064	2.50114744548184	3.08518933438876	1.58368073026465e-14	1.07280461683961e-11
17	44299116	44299616	501	*	5.95478085359049	6.65366508034337	4.54646450416228	1.97840365282233	1.59233262260597e-14	1.07280461683961e-11
1	177969682	177970182	501	*	5.25860960551442	6.09968076919448	2.99756104973305	2.80324592833098	1.62192126916545e-14	1.08271428723198e-11
13	119610054	119610554	501	*	5.65919064643621	4.0411692762096	6.40267807303883	-2.15240175657657	1.79999051811406e-14	1.19066100063212e-11
5	103950315	103950815	501	*	5.67329642314036	6.42913966862545	3.99005253463143	2.25206204756076	1.95796753964456e-14	1.28349182060502e-11
5	117434875	117435375	501	*	6.08177224853553	6.72643871535864	4.88622960333906	1.72526467385314	2.01101126613082e-14	1.3064929710489e-11
12	18133436	18133936	501	*	5.93912118647626	6.63792611213616	4.53114645949348	1.93197914230355	2.0661140151929e-14	1.33041286803081e-11
1	161411254	161411754	501	*	5.51723486581182	6.28678959372088	3.75727533824127	2.30988982311739	2.27346374972919e-14	1.45108809492584e-11
5	113478887	113479387	501	*	5.94932013449549	6.63597332150569	4.59254719535004	1.88786211009339	2.35628024104025e-14	1.49086973198967e-11
14	19415551	19416051	501	*	8.2602392409331	8.69385301924459	7.63739083676673	1.0302739935873	2.43164812842308e-14	1.52529321352111e-11
1	189603666	189604166	501	*	5.74270466059712	6.45766884452149	4.26298119357062	2.01856793416384	2.54020013815349e-14	1.57976566369626e-11
13	48443181	48443681	501	*	6.30352859220588	6.95058768734835	5.0993861676519	1.72659363085233	2.88247534298559e-14	1.77743689306492e-11
11	19825038	19825538	501	*	5.84942789056918	6.58409140727121	4.27592099681858	2.10653315433382	3.29299770016032e-14	2.01351589627534e-11
5	122404321	122404821	501	*	6.14037325461986	6.81580121038102	4.82897276767347	1.84855936045329	3.55034795890345e-14	2.1527830711141e-11
9	62272681	62273181	501	*	6.05962278158599	6.72478610536323	4.78820411053462	1.79934943740163	3.62700735056472e-14	2.18109037891852e-11
5	72271437	72271937	501	*	6.54567664049961	7.16162972523402	5.44849850102713	1.63124643325053	3.81300359151999e-14	2.27414410106368e-11
18	75480154	75480654	501	*	6.52956889756568	7.15168938115099	5.4119826548887	1.62898886099308	4.11168977887271e-14	2.43234864536679e-11
15	98612459	98612959	501	*	6.71581475936749	7.29736107881645	5.72601503431384	1.49414483769473	4.14746901612095e-14	2.43372812919362e-11
5	113135000	113135500	501	*	5.99685981326617	6.69055563681374	4.6106869710449	1.93098620471832	4.44423258977976e-14	2.58700556744116e-11
11	115399457	115399957	501	*	6.24188559848187	6.87351003843901	5.09209775782632	1.68251375346233	5.07253684256438e-14	2.92930951012311e-11
3	107872783	107873283	501	*	5.21650064838236	6.04230375735492	3.08030288947435	2.64564817288517	5.11726303820649e-14	2.93186937361432e-11
5	100752368	100752868	501	*	6.37457559285963	6.98217153741071	5.30446345455902	1.59157386091308	5.55774021567455e-14	3.15935821338381e-11
12	19173031	19173531	501	*	6.1784592040672	6.80927067101459	5.03146257084749	1.68253972905045	5.78587129195215e-14	3.2635453706691e-11
15	86031133	86031633	501	*	6.46704437400037	7.08370926134413	5.36752996901768	1.63334775027706	6.20132865290009e-14	3.47097905208438e-11
16	24487195	24487695	501	*	5.94147276483787	6.60276650416603	4.68477159938706	1.78691989837815	6.35465451917499e-14	3.52964676930328e-11
10	24962649	24963149	501	*	5.90047896667566	6.57888571771738	4.57721071036134	1.87411346038862	6.42144002455111e-14	3.53066819396384e-11
5	150007597	150008097	501	*	5.9498530792529	6.62572077295841	4.63670830667669	1.85790092883292	6.45522369159718e-14	3.53066819396384e-11
9	119004437	119004937	501	*	5.40921927862521	6.19977821933542	3.52161524482709	2.39353366244923	6.50206200941625e-14	3.53066819396384e-11
11	46074984	46075484	501	*	5.98791545211725	6.65370034822948	4.71411493901125	1.79457556574043	6.6696298660008e-14	3.59483168844308e-11
9	45950504	45951004	501	*	5.61809495886811	6.3571857049434	4.02245948683078	2.12393857150655	6.87270406156745e-14	3.67704827670465e-11
10	83732435	83732935	501	*	5.40699539361917	6.19473726279455	3.53729264140396	2.38358217484163	6.9879514871522e-14	3.71141835080041e-11
11	3127241	3127741	501	*	5.61835203348875	0	6.61835203348875	-8.4475479898523	7.10849744495702e-14	3.73485869871933e-11
12	99818024	99818524	501	*	5.70900018233817	6.44764137076456	4.11563039403705	2.13006667617321	7.13474374506255e-14	3.73485869871933e-11
8	48276337	48276837	501	*	6.26321184463799	6.89439880336826	5.11492688943359	1.66766987476763	7.54558268961307e-14	3.92170880888797e-11
16	44537273	44537773	501	*	5.71362370791066	6.43329411846701	4.21215737844622	2.04595110342662	8.23677183651799e-14	4.25058318539403e-11
12	69459660	69460160	501	*	6.17222315399443	6.80290700702314	5.02566402932874	1.66563367296944	8.40547710773379e-14	4.30709669570446e-11
9	121115631	121116131	501	*	5.74786432367028	6.43735099487659	4.37935199100776	1.90867583049579	9.29894903517486e-14	4.73160439612887e-11
5	122744507	122745007	501	*	5.60905577466852	6.36931007740808	3.90165302935522	2.21351479530983	9.51317821199046e-14	4.80699573777126e-11
19	12213953	12214453	501	*	5.41125291443056	6.21387892766176	3.44392824529179	2.44274754903327	1.04004100061759e-13	5.21906919503019e-11
4	153845148	153845648	501	*	5.5361002378989	6.32131475409658	3.68224164239007	2.40098451661182	1.1159403018287e-13	5.56158658780558e-11
7	136712464	136712964	501	*	5.7314263312127	6.43939656971878	4.28329457038059	1.9929027265199	1.20826658850272e-13	5.98075522307641e-11
1	132473897	132474397	501	*	5.88808278031383	6.56060240782067	4.58815254953118	1.82235997633115	1.22082318236657e-13	6.00207819044182e-11
18	83925352	83925852	501	*	5.71029910424234	6.43240851760627	4.19740591177277	2.07410197695219	1.24996964063335e-13	6.10413026586607e-11
10	89857689	89858189	501	*	5.80161134124775	6.52003154862657	4.30595995784009	2.00472892175093	1.28254842632651e-13	6.22147140965307e-11
3	148858630	148859130	501	*	5.2300730238616	6.06147382662472	3.04949749718872	2.66127786701215	1.32767371149678e-13	6.39771670659868e-11
13	51515412	51515912	501	*	5.04393428908853	5.92413248482666	2.39440304680277	3.09801547280867	1.35140849163046e-13	6.46924579450705e-11
7	49652465	49652965	501	*	6.33556117599517	6.93395814147905	5.29449045036928	1.54651786298463	1.46259009686554e-13	6.91264676351599e-11
8	125212193	125212693	501	*	5.89397095965793	6.58115164584123	4.5350215073559	1.87622578081422	1.46303423660578e-13	6.91264676351599e-11
5	134526060	134526560	501	*	5.02716948326266	5.93408554177973	2.02678748569548	3.51319121449291	1.54151315510893e-13	7.21581135997237e-11
10	116759220	116759720	501	*	6.03103170249412	6.66953546567802	4.85734194509784	1.69874182940911	1.54703155746147e-13	7.21581135997237e-11
1	124956064	124956564	501	*	5.82057400711286	6.50128667035912	4.48803427527608	1.87023720462925	1.55965080352118e-13	7.22833575901985e-11
8	117522571	117523071	501	*	5.56722341275523	6.31017964809264	3.95192879349975	2.16726781187157	1.77018295697073e-13	8.15214066443426e-11
2	171251466	171251966	501	*	5.87978007020432	6.59635894134405	4.39264155673158	2.01737159599428	1.78541538968085e-13	8.17057735844956e-11
10	84316887	84317387	501	*	5.87187079678679	6.54532515816384	4.56826648999075	1.8226820329862	1.81287553332153e-13	8.24439140194217e-11
3	148819563	148820063	501	*	5.15909660037725	6.0347475348295	2.56106981823081	2.98647535955404	2.03188494543248e-13	9.18298411704993e-11
11	85061719	85062219	501	*	5.94526491502903	6.63763274732193	4.56469293538138	1.91372462412353	2.12424523031331e-13	9.48837976277886e-11
7	130775455	130775955	501	*	6.47716590799403	7.08416971564417	5.40894649916934	1.56959829614104	2.1255389433269e-13	9.48837976277886e-11
10	76920234	76920734	501	*	5.62904999469161	6.39001118356674	3.91773087685471	2.22502028088122	2.14867989710241e-13	9.53319483858919e-11
15	72809466	72809966	501	*	6.06111639639932	6.73718895935892	4.74715807713436	1.82850824067332	2.35241411840489e-13	1.03604112709712e-10
12	69873744	69874244	501	*	6.04364333486785	6.67924296645095	4.88010612080819	1.69188956176671	2.3636027527469e-13	1.03604112709712e-10
15	79485257	79485757	501	*	6.74239882345787	7.33910303224193	5.70658919857162	1.53681162584559	2.43088534707522e-13	1.05915275754032e-10
1	192629969	192630469	501	*	5.80809045807443	6.47757683030952	4.5200025093982	1.81275374817904	2.65816656911018e-13	1.15128675040574e-10
5	147810729	147811229	501	*	5.79816268611782	6.487072495334	4.43204997803639	1.88286594277811	3.08008875852868e-13	1.32613312625338e-10
13	107726571	107727071	501	*	5.89937830917867	6.55960423280546	4.64670527071636	1.77837719402546	3.17283900127348e-13	1.35803108382154e-10
17	30651909	30652409	501	*	7.2239620826845	7.7553774327557	6.37362089467964	1.32333034848934	3.26190162849527e-13	1.38798683154504e-10
17	45533202	45533702	501	*	6.04977959188138	6.70982590374398	4.79778270790791	1.79783242245772	3.46182105783746e-13	1.46449119553155e-10
17	67097191	67097691	501	*	5.80869530112317	6.48938390343706	4.47625269709074	1.86585204280415	3.48586757310962e-13	1.46613978163107e-10
1	88236720	88237220	501	*	5.66801413878683	4.1791224033687	6.38497331381093	-2.03895349479072	3.57829243502957e-13	1.4963603314757e-10
4	101622862	101623362	501	*	5.94781626261077	6.60023902419807	4.72415422555915	1.75132256514749	3.60074953128647e-13	1.4963603314757e-10
16	32514484	32514984	501	*	6.46905246300746	7.07859629680294	5.39269092612274	1.5729310113222	3.61941396506085e-13	1.4963603314757e-10
17	13591017	13591517	501	*	5.3417164701761	0	6.3417164701761	-8.19002343667423	3.69675952550894e-13	1.51970233533676e-10
5	118367245	118367745	501	*	5.85066650157004	6.52255246229834	4.55322030858379	1.8407529033765	3.76327986084265e-13	1.53041598996538e-10
10	79514918	79515418	501	*	5.29978407254266	6.09773402313158	3.36395614145782	2.40370024793888	3.76488685463496e-13	1.53041598996538e-10
19	5976278	5976778	501	*	5.18193930047404	6.00419096360271	3.07311909403655	2.59969266119619	3.84081015586003e-13	1.55260482983802e-10
17	3035608	3036108	501	*	4.90204017282086	1.66958767135853	5.82317305148017	-3.83816549276581	3.92192521825613e-13	1.56950264174056e-10
12	8843593	8844093	501	*	5.65401582720455	6.35043290366622	4.256281317935	1.92805283853268	3.92575183536664e-13	1.56950264174056e-10
5	150022354	150022854	501	*	6.00619656471775	6.63739522037803	4.8578714531737	1.66500076861769	3.98389163294106e-13	1.58404320703656e-10
2	59375794	59376294	501	*	4.93338717561641	5.84847448159305	1.80449674322159	3.55545115520671	4.33495374264738e-13	1.71426216943615e-10
11	5456619	5457119	501	*	6.56719421547599	7.15869655127341	5.54739493322376	1.51558955567744	4.4585572832452e-13	1.75341013763202e-10
17	31552415	31552915	501	*	5.94205367927212	6.61203568116485	4.65203904682302	1.80381596514925	4.48214457347217e-13	1.75341013763202e-10
10	83048581	83049081	501	*	6.11103585340938	6.75449335701278	4.91981375592677	1.69954404727904	4.58567485863574e-13	1.77879811042724e-10
2	26532273	26532773	501	*	6.45091077048402	7.05112970625403	5.40414888443137	1.54496459043616	4.59593536220772e-13	1.77879811042724e-10
5	104468522	104469022	501	*	5.15820212285469	5.98507517730642	3.01364001464436	2.62228471223646	5.18243028933862e-13	1.99518082086321e-10
5	139025872	139026372	501	*	6.53115431192021	7.10780959948508	5.55579274683353	1.47757226780503	5.29609343605693e-13	2.02820866677795e-10
6	67032454	67032954	501	*	5.55608934130965	6.28905371839919	3.99096814305808	2.11112705430422	5.39335431798333e-13	2.05464209549435e-10
9	121147135	121147635	501	*	6.26644607497069	6.88879627375267	5.14809239355651	1.62321326340472	5.54406033135121e-13	2.10105448901098e-10
8	24066056	24066556	501	*	5.86766172777138	6.53818349905376	4.5755451393559	1.81781236474099	5.6980847949399e-13	2.14823701520317e-10
16	91338590	91339090	501	*	6.38827133063891	6.9861323677537	5.34886901926267	1.54678492351804	5.76991654071202e-13	2.16410534665891e-10
19	41587338	41587838	501	*	5.53885472077552	6.27163408333466	3.97464308758807	2.07377319496303	5.84929413634732e-13	2.18262661150277e-10
9	99880750	99881250	501	*	5.4500771407349	6.18780986684274	3.86127284968241	2.11936435300893	5.93058250596417e-13	2.20166823919118e-10
2	181028745	181029245	501	*	5.9500995184464	6.60360911361285	4.72244092593004	1.74783799758955	6.24321816143063e-13	2.30596590396029e-10
4	149887514	149888014	501	*	5.49032117688653	6.23564216696566	3.86284004928408	2.17259500918572	6.30516563103655e-13	2.3170846808642e-10
18	80560954	80561454	501	*	4.96509025716581	5.83956774043796	2.38003573432706	2.99610257263509	6.41836636294915e-13	2.346832118931e-10
7	128688196	128688696	501	*	5.25935051893026	6.09057351162118	3.08020852966495	2.65527364967999	6.45123636897693e-13	2.34705655957934e-10
11	118470940	118471440	501	*	6.1379982412774	6.76861341023324	4.99167452054545	1.67994764331578	6.70631265019356e-13	2.42771854410962e-10
3	148817576	148818076	501	*	5.5886960879184	6.3177191475018	4.04280331146959	2.06969250297072	6.79190491355701e-13	2.44653157042153e-10
15	66451528	66452028	501	*	4.95535125820657	5.86750504439147	1.87400856336205	3.45050926544683	6.83606394314052e-13	2.4503079837179e-10
10	61849185	61849685	501	*	6.10658477683054	6.73850097097092	4.9557935443606	1.66333546852679	6.87052220975219e-13	2.45058729190293e-10
9	55004858	55005358	501	*	5.24685265839858	6.04379218957815	3.31772803894663	2.4198183124751	6.98736436792101e-13	2.48010533416115e-10
