chr start stop ROI
97079 1 14561701 14561850 ID_169
98848 1 14827051 14827200 ID_170
99837 1 14975401 14975550 ID_171
99838 1 14975551 14975700 ID_172
99839 1 14975701 14975850 ID_173
99840 1 14975851 14976000 ID_174
99841 1 14976001 14976150 ID_175
99894 1 14983951 14984100 ID_176
100156 1 15023251 15023400 ID_177
101394 1 15208951 15209100 ID_178
102945 1 15441601 15441750 ID_179
104773 1 15715801 15715950 ID_180
107266 1 16089751 16089900 ID_181
107358 1 16103551 16103700 ID_182
107363 1 16104301 16104450 ID_183
107364 1 16104451 16104600 ID_184
107799 1 16169701 16169850 ID_185
107800 1 16169851 16170000 ID_186
110024 1 16503451 16503600 ID_187
110025 1 16503601 16503750 ID_188
110026 1 16503751 16503900 ID_189
110027 1 16503901 16504050 ID_190
110109 1 16516201 16516350 ID_191
110110 1 16516351 16516500 ID_192
110111 1 16516501 16516650 ID_193
111423 1 16713301 16713450 ID_194
111424 1 16713451 16713600 ID_195
111590 1 16738351 16738500 ID_196
111591 1 16738501 16738650 ID_197
111592 1 16738651 16738800 ID_198
111596 1 16739251 16739400 ID_199
111597 1 16739401 16739550 ID_200
111598 1 16739551 16739700 ID_201
111894 1 16783951 16784100 ID_202
111988 1 16798051 16798200 ID_203
111989 1 16798201 16798350 ID_204
111990 1 16798351 16798500 ID_205
112946 1 16941751 16941900 ID_206
112947 1 16941901 16942050 ID_207
116844 1 17526451 17526600 ID_208
116845 1 17526601 17526750 ID_209
116846 1 17526751 17526900 ID_210
116847 1 17526901 17527050 ID_211
117133 1 17569801 17569950 ID_212
117244 1 17586451 17586600 ID_213
118125 1 17718601 17718750 ID_214
118586 1 17787751 17787900 ID_215
119712 1 17956651 17956800 ID_216
119713 1 17956801 17956950 ID_217
119714 1 17956951 17957100 ID_218
119715 1 17957101 17957250 ID_219
119721 1 17958001 17958150 ID_220
119722 1 17958151 17958300 ID_221
120110 1 18016351 18016500 ID_222
120111 1 18016501 18016650 ID_223
121075 1 18161101 18161250 ID_224
122725 1 18408601 18408750 ID_225
122726 1 18408751 18408900 ID_226
122727 1 18408901 18409050 ID_227
123448 1 18517051 18517200 ID_228
123454 1 18517951 18518100 ID_229
123455 1 18518101 18518250 ID_230
125023 1 18753301 18753450 ID_231
125409 1 18811201 18811350 ID_232
127693 1 19153801 19153950 ID_233
127694 1 19153951 19154100 ID_234
128211 1 19231501 19231650 ID_235
128212 1 19231651 19231800 ID_236
128213 1 19231801 19231950 ID_237
128622 1 19293151 19293300 ID_238
130816 1 19622251 19622400 ID_239
130817 1 19622401 19622550 ID_240
130825 1 19623601 19623750 ID_241
130826 1 19623751 19623900 ID_242
130849 1 19627201 19627350 ID_243
130850 1 19627351 19627500 ID_244
131997 1 19799401 19799550 ID_245
131998 1 19799551 19799700 ID_246
132993 1 19948801 19948950 ID_247
135704 1 20355451 20355600 ID_248
135947 1 20391901 20392050 ID_249
136671 1 20500501 20500650 ID_250
136672 1 20500651 20500800 ID_251
136777 1 20516401 20516550 ID_252
137446 1 20616751 20616900 ID_253
137447 1 20616901 20617050 ID_254
139279 1 20891701 20891850 ID_255
139280 1 20891851 20892000 ID_256
139735 1 20960101 20960250 ID_257
139736 1 20960251 20960400 ID_258
140945 1 21141601 21141750 ID_259
140946 1 21141751 21141900 ID_260
141462 1 21219151 21219300 ID_261
141668 1 21250051 21250200 ID_262
142404 1 21360451 21360600 ID_263
142405 1 21360601 21360750 ID_264
142428 1 21364051 21364200 ID_265
142429 1 21364201 21364350 ID_266
142430 1 21364351 21364500 ID_267
143447 1 21516901 21517050 ID_268
143878 1 21581551 21581700 ID_269
143879 1 21581701 21581850 ID_270
143880 1 21581851 21582000 ID_271
143881 1 21582001 21582150 ID_272
143882 1 21582151 21582300 ID_273
143899 1 21584701 21584850 ID_274
143900 1 21584851 21585000 ID_275
143926 1 21588751 21588900 ID_276
143927 1 21588901 21589050 ID_277
145485 1 21822601 21822750 ID_278
145500 1 21824851 21825000 ID_279
146674 1 22000951 22001100 ID_280
146675 1 22001101 22001250 ID_281
146676 1 22001251 22001400 ID_282
147264 1 22089451 22089600 ID_283
147407 1 22110901 22111050 ID_284
148318 1 22247551 22247700 ID_285
148319 1 22247701 22247850 ID_286
148320 1 22247851 22248000 ID_287
149911 1 22486501 22486650 ID_288
150605 1 22590601 22590750 ID_289
150743 1 22611301 22611450 ID_290
151167 1 22674901 22675050 ID_291
152724 1 22908451 22908600 ID_292
152725 1 22908601 22908750 ID_293
153425 1 23013601 23013750 ID_294
153426 1 23013751 23013900 ID_295
153877 1 23081401 23081550 ID_296
154199 1 23129701 23129850 ID_297
154431 1 23164501 23164650 ID_298
154510 1 23176351 23176500 ID_299
154789 1 23218201 23218350 ID_300
154911 1 23236501 23236650 ID_301
155174 1 23275951 23276100 ID_302
155348 1 23302051 23302200 ID_303
155349 1 23302201 23302350 ID_304
155350 1 23302351 23302500 ID_305
155351 1 23302501 23302650 ID_306
155352 1 23302651 23302800 ID_307
155707 1 23355901 23356050 ID_308
155708 1 23356051 23356200 ID_309
156797 1 23519401 23519550 ID_310
156798 1 23519551 23519700 ID_311
158058 1 23708551 23708700 ID_312
158146 1 23721751 23721900 ID_313
158549 1 23782201 23782350 ID_314
158550 1 23782351 23782500 ID_315
158551 1 23782501 23782650 ID_316
158552 1 23782651 23782800 ID_317
158574 1 23785951 23786100 ID_318
158575 1 23786101 23786250 ID_319
158576 1 23786251 23786400 ID_320
158577 1 23786401 23786550 ID_321
159153 1 23872801 23872950 ID_322
159671 1 23950501 23950650 ID_323
160318 1 24047551 24047700 ID_324
160319 1 24047701 24047850 ID_325
160696 1 24104251 24104400 ID_326
160697 1 24104401 24104550 ID_327
161709 1 24256201 24256350 ID_328
162794 1 24418951 24419100 ID_329
163025 1 24453601 24453750 ID_330
163167 1 24474901 24475050 ID_331
164077 1 24611401 24611550 ID_332
164078 1 24611551 24611700 ID_333
164079 1 24611701 24611850 ID_334
164080 1 24611851 24612000 ID_335
164081 1 24612001 24612150 ID_336
164082 1 24612151 24612300 ID_337
164083 1 24612301 24612450 ID_338
164084 1 24612451 24612600 ID_339
164085 1 24612601 24612750 ID_340
164087 1 24612901 24613050 ID_341
164088 1 24613051 24613200 ID_342
164089 1 24613201 24613350 ID_343
164091 1 24613501 24613650 ID_344
164092 1 24613651 24613800 ID_345
164094 1 24613951 24614100 ID_346
164095 1 24614101 24614250 ID_347
164096 1 24614251 24614400 ID_348
164097 1 24614401 24614550 ID_349
164098 1 24614551 24614700 ID_350
164100 1 24614851 24615000 ID_351
164101 1 24615001 24615150 ID_352
164102 1 24615151 24615300 ID_353
164103 1 24615301 24615450 ID_354
164104 1 24615451 24615600 ID_355
164105 1 24615601 24615750 ID_356
164106 1 24615751 24615900 ID_357
164107 1 24615901 24616050 ID_358
164108 1 24616051 24616200 ID_359
164109 1 24616201 24616350 ID_360
164700 1 24704851 24705000 ID_361
164810 1 24721351 24721500 ID_362
164811 1 24721501 24721650 ID_363
165388 1 24808051 24808200 ID_364
165389 1 24808201 24808350 ID_365
165390 1 24808351 24808500 ID_366
167712 1 25156651 25156800 ID_367
167713 1 25156801 25156950 ID_368
167948 1 25192051 25192200 ID_369
173615 1 26042101 26042250 ID_370
174246 1 26136751 26136900 ID_371
175662 1 26349151 26349300 ID_372
175688 1 26353051 26353200 ID_373
177143 1 26571301 26571450 ID_374
177277 1 26591401 26591550 ID_375
180050 1 27007351 27007500 ID_376
180087 1 27012901 27013050 ID_377
180394 1 27058951 27059100 ID_378
180912 1 27136651 27136800 ID_379
180913 1 27136801 27136950 ID_380
181203 1 27180301 27180450 ID_381
181204 1 27180451 27180600 ID_382
181205 1 27180601 27180750 ID_383
181209 1 27181201 27181350 ID_384
181210 1 27181351 27181500 ID_385
181844 1 27276451 27276600 ID_386
181845 1 27276601 27276750 ID_387
182238 1 27335551 27335700 ID_388
182239 1 27335701 27335850 ID_389
183474 1 27520951 27521100 ID_390
183475 1 27521101 27521250 ID_391
183755 1 27563101 27563250 ID_392
183827 1 27573901 27574050 ID_393
184869 1 27730201 27730350 ID_394
185821 1 27873001 27873150 ID_395
186284 1 27942451 27942600 ID_396
186285 1 27942601 27942750 ID_397
189327 1 28398901 28399050 ID_398
189724 1 28458451 28458600 ID_399
189725 1 28458601 28458750 ID_400
189726 1 28458751 28458900 ID_401
190438 1 28565551 28565700 ID_402
190534 1 28579951 28580100 ID_403
193116 1 28967251 28967400 ID_404
193886 1 29082751 29082900 ID_405
194559 1 29183701 29183850 ID_406
197700 1 29654851 29655000 ID_407
198043 1 29706301 29706450 ID_408
198045 1 29706601 29706750 ID_409
198609 1 29791201 29791350 ID_410
198610 1 29791351 29791500 ID_411
198744 1 29811451 29811600 ID_412
199620 1 29942851 29943000 ID_413
199662 1 29949151 29949300 ID_414
200603 1 30090301 30090450 ID_415
200604 1 30090451 30090600 ID_416
201763 1 30264301 30264450 ID_417
203562 1 30534151 30534300 ID_418
203563 1 30534301 30534450 ID_419
203812 1 30571651 30571800 ID_420
204585 1 30687601 30687750 ID_421
204586 1 30687751 30687900 ID_422
204587 1 30687901 30688050 ID_423
204599 1 30689701 30689850 ID_424
204600 1 30689851 30690000 ID_425
204601 1 30690001 30690150 ID_426
205092 1 30763651 30763800 ID_427
205244 1 30786451 30786600 ID_428
206094 1 30913951 30914100 ID_429
206095 1 30914101 30914250 ID_430
206479 1 30971701 30971850 ID_431
206704 1 31005451 31005600 ID_432
206705 1 31005601 31005750 ID_433
207521 1 31128001 31128150 ID_434
207522 1 31128151 31128300 ID_435
208841 1 31326001 31326150 ID_436
209804 1 31470451 31470600 ID_437
209805 1 31470601 31470750 ID_438
209824 1 31473451 31473600 ID_439
209825 1 31473601 31473750 ID_440
211538 1 31730551 31730700 ID_441
211539 1 31730701 31730850 ID_442
211563 1 31734301 31734450 ID_443
211564 1 31734451 31734600 ID_444
211565 1 31734601 31734750 ID_445
213777 1 32066401 32066550 ID_446
213778 1 32066551 32066700 ID_447
213779 1 32066701 32066850 ID_448
214836 1 32225251 32225400 ID_449
217259 1 32588701 32588850 ID_450
217577 1 32636401 32636550 ID_451
219331 1 32899501 32899650 ID_452
220218 1 33032551 33032700 ID_453
222292 1 33343651 33343800 ID_454
222630 1 33394351 33394500 ID_455
223131 1 33469501 33469650 ID_456
223303 1 33495301 33495450 ID_457
223729 1 33559201 33559350 ID_458
223769 1 33565201 33565350 ID_459
224046 1 33606751 33606900 ID_460
224047 1 33606901 33607050 ID_461
224425 1 33663601 33663750 ID_462
224827 1 33723901 33724050 ID_463
226253 1 33937801 33937950 ID_464
226440 1 33965851 33966000 ID_465
226743 1 34011301 34011450 ID_466
226744 1 34011451 34011600 ID_467
227432 1 34114651 34114800 ID_468
227554 1 34132951 34133100 ID_469
227555 1 34133101 34133250 ID_470
227761 1 34164001 34164150 ID_471
227855 1 34178101 34178250 ID_472
228007 1 34200901 34201050 ID_473
228008 1 34201051 34201200 ID_474
228320 1 34247851 34248000 ID_475
228415 1 34262101 34262250 ID_476
228423 1 34263301 34263450 ID_477
228424 1 34263451 34263600 ID_478
228425 1 34263601 34263750 ID_479
228680 1 34301851 34302000 ID_480
228681 1 34302001 34302150 ID_481
228682 1 34302151 34302300 ID_482
228710 1 34306351 34306500 ID_483
228711 1 34306501 34306650 ID_484
228712 1 34306651 34306800 ID_485
228924 1 34338451 34338600 ID_486
228985 1 34347601 34347750 ID_487
228986 1 34347751 34347900 ID_488
228992 1 34348651 34348800 ID_489
229452 1 34417651 34417800 ID_490
229453 1 34417801 34417950 ID_491
229454 1 34417951 34418100 ID_492
232463 1 34869301 34869450 ID_493
232770 1 34915351 34915500 ID_494
232794 1 34918951 34919100 ID_495
232795 1 34919101 34919250 ID_496
232869 1 34930201 34930350 ID_497
234502 1 35175151 35175300 ID_498
235149 1 35272201 35272350 ID_499
235150 1 35272351 35272500 ID_500
235446 1 35316751 35316900 ID_501
237127 1 35568901 35569050 ID_502
237356 1 35603251 35603400 ID_503
238591 1 35788501 35788650 ID_504
238592 1 35788651 35788800 ID_505
238593 1 35788801 35788950 ID_506
238598 1 35789551 35789700 ID_507
238636 1 35795251 35795400 ID_508
238637 1 35795401 35795550 ID_509
239223 1 35883301 35883450 ID_510
239224 1 35883451 35883600 ID_511
239312 1 35896651 35896800 ID_512
239313 1 35896801 35896950 ID_513
240040 1 36005851 36006000 ID_514
240041 1 36006001 36006150 ID_515
240582 1 36087151 36087300 ID_516
240583 1 36087301 36087450 ID_517
241714 1 36256951 36257100 ID_518
241715 1 36257101 36257250 ID_519
243331 1 36499501 36499650 ID_520
243332 1 36499651 36499800 ID_521
244683 1 36702301 36702450 ID_522
244805 1 36720601 36720750 ID_523
244822 1 36723151 36723300 ID_524
244823 1 36723301 36723450 ID_525
245351 1 36802501 36802650 ID_526
245352 1 36802651 36802800 ID_527
245353 1 36802801 36802950 ID_528
245418 1 36812551 36812700 ID_529
246443 1 36966301 36966450 ID_530
246456 1 36968251 36968400 ID_531
246457 1 36968401 36968550 ID_532
246458 1 36968551 36968700 ID_533
246636 1 36995251 36995400 ID_534
246637 1 36995401 36995550 ID_535
246710 1 37006351 37006500 ID_536
246742 1 37011151 37011300 ID_537
246743 1 37011301 37011450 ID_538
246744 1 37011451 37011600 ID_539
246908 1 37036051 37036200 ID_540
247857 1 37178401 37178550 ID_541
248005 1 37200601 37200750 ID_542
248063 1 37209301 37209450 ID_543
248064 1 37209451 37209600 ID_544
248555 1 37283101 37283250 ID_545
248556 1 37283251 37283400 ID_546
248557 1 37283401 37283550 ID_547
248558 1 37283551 37283700 ID_548
248796 1 37319251 37319400 ID_549
248797 1 37319401 37319550 ID_550
249019 1 37352701 37352850 ID_551
249582 1 37437151 37437300 ID_552
249654 1 37447951 37448100 ID_553
249655 1 37448101 37448250 ID_554
250221 1 37533001 37533150 ID_555
250364 1 37554451 37554600 ID_556
250568 1 37585051 37585200 ID_557
251055 1 37658101 37658250 ID_558
251056 1 37658251 37658400 ID_559
251249 1 37687201 37687350 ID_560
251828 1 37774051 37774200 ID_561
251829 1 37774201 37774350 ID_562
252725 1 37908601 37908750 ID_563
253892 1 38083651 38083800 ID_564
254556 1 38183251 38183400 ID_565
254557 1 38183401 38183550 ID_566
254564 1 38184451 38184600 ID_567
254721 1 38208001 38208150 ID_568
254722 1 38208151 38208300 ID_569
254839 1 38225701 38225850 ID_570
254840 1 38225851 38226000 ID_571
254841 1 38226001 38226150 ID_572
255431 1 38314501 38314650 ID_573
255432 1 38314651 38314800 ID_574
255727 1 38358901 38359050 ID_575
255728 1 38359051 38359200 ID_576
255729 1 38359201 38359350 ID_577
255730 1 38359351 38359500 ID_578
257004 1 38550451 38550600 ID_579
257005 1 38550601 38550750 ID_580
257006 1 38550751 38550900 ID_581
257819 1 38672701 38672850 ID_582
258034 1 38704951 38705100 ID_583
258040 1 38705851 38706000 ID_584
258041 1 38706001 38706150 ID_585
258312 1 38746651 38746800 ID_586
258313 1 38746801 38746950 ID_587
259439 1 38915701 38915850 ID_588
259440 1 38915851 38916000 ID_589
259921 1 38988001 38988150 ID_590
260197 1 39029401 39029550 ID_591
261917 1 39287401 39287550 ID_592
262031 1 39304501 39304650 ID_593
262891 1 39433501 39433650 ID_594
263463 1 39519301 39519450 ID_595
263464 1 39519451 39519600 ID_596
264263 1 39639301 39639450 ID_597
264694 1 39703951 39704100 ID_598
264716 1 39707251 39707400 ID_599
264930 1 39739351 39739500 ID_600
264931 1 39739501 39739650 ID_601
265023 1 39753301 39753450 ID_602
265429 1 39814201 39814350 ID_603
265598 1 39839551 39839700 ID_604
265599 1 39839701 39839850 ID_605
266420 1 39962851 39963000 ID_606
266488 1 39973051 39973200 ID_607
266710 1 40006351 40006500 ID_608
267256 1 40088251 40088400 ID_609
268096 1 40214251 40214400 ID_610
268716 1 40307251 40307400 ID_611
268717 1 40307401 40307550 ID_612
269070 1 40360351 40360500 ID_613
270673 1 40600801 40600950 ID_614
270674 1 40600951 40601100 ID_615
270675 1 40601101 40601250 ID_616
270711 1 40606501 40606650 ID_617
270842 1 40626151 40626300 ID_618
271168 1 40675051 40675200 ID_619
271324 1 40698451 40698600 ID_620
272201 1 40830001 40830150 ID_621
272202 1 40830151 40830300 ID_622
272467 1 40869901 40870050 ID_623
272468 1 40870051 40870200 ID_624
273666 1 41049751 41049900 ID_625
273924 1 41088451 41088600 ID_626
273925 1 41088601 41088750 ID_627
273926 1 41088751 41088900 ID_628
276195 1 41429101 41429250 ID_629
276196 1 41429251 41429400 ID_630
278947 1 41841901 41842050 ID_631
281644 1 42246451 42246600 ID_632
282774 1 42415951 42416100 ID_633
282775 1 42416101 42416250 ID_634
283690 1 42553351 42553500 ID_635
283691 1 42553501 42553650 ID_636
283692 1 42553651 42553800 ID_637
285255 1 42788101 42788250 ID_638
285256 1 42788251 42788400 ID_639
285408 1 42811051 42811200 ID_640
286884 1 43032451 43032600 ID_641
286885 1 43032601 43032750 ID_642
287287 1 43092901 43093050 ID_643
287952 1 43192651 43192800 ID_644
289026 1 43353751 43353900 ID_645
289027 1 43353901 43354050 ID_646
289635 1 43445101 43445250 ID_647
290226 1 43533751 43533900 ID_648
290360 1 43553851 43554000 ID_649
290362 1 43554151 43554300 ID_650
290363 1 43554301 43554450 ID_651
291182 1 43677151 43677300 ID_652
292655 1 43898101 43898250 ID_653
293732 1 44059651 44059800 ID_654
293733 1 44059801 44059950 ID_655
295273 1 44290801 44290950 ID_656
295274 1 44290951 44291100 ID_657
295275 1 44291101 44291250 ID_658
295738 1 44360551 44360700 ID_659
295739 1 44360701 44360850 ID_660
295740 1 44360851 44361000 ID_661
296073 1 44410801 44410950 ID_662
296127 1 44418901 44419050 ID_663
299831 1 44974501 44974650 ID_664
299876 1 44981251 44981400 ID_665
304880 1 45731851 45732000 ID_666
304896 1 45734251 45734400 ID_667
304897 1 45734401 45734550 ID_668
304902 1 45735151 45735300 ID_669
304903 1 45735301 45735450 ID_670
305440 1 45815851 45816000 ID_671
305469 1 45820201 45820350 ID_672
306518 1 45977551 45977700 ID_673
307874 1 46180951 46181100 ID_674
310128 1 46519051 46519200 ID_675
310360 1 46553851 46554000 ID_676
311458 1 46718551 46718700 ID_677
311493 1 46723801 46723950 ID_678
313194 1 46978951 46979100 ID_679
313195 1 46979101 46979250 ID_680
313317 1 46997401 46997550 ID_681
313318 1 46997551 46997700 ID_682
313319 1 46997701 46997850 ID_683
313858 1 47078551 47078700 ID_684
314771 1 47215501 47215650 ID_685
314844 1 47226451 47226600 ID_686
314845 1 47226601 47226750 ID_687
314846 1 47226751 47226900 ID_688
314850 1 47227351 47227500 ID_689
314851 1 47227501 47227650 ID_690
315458 1 47318551 47318700 ID_691
315684 1 47352451 47352600 ID_692
315928 1 47389051 47389200 ID_693
316403 1 47460301 47460450 ID_694
317530 1 47629351 47629500 ID_695
317531 1 47629501 47629650 ID_696
317532 1 47629651 47629800 ID_697
317615 1 47642101 47642250 ID_698
318493 1 47773801 47773950 ID_699
318520 1 47777851 47778000 ID_700
319719 1 47957701 47957850 ID_701
319720 1 47957851 47958000 ID_702
319721 1 47958001 47958150 ID_703
319797 1 47969401 47969550 ID_704
319798 1 47969551 47969700 ID_705
320614 1 48091951 48092100 ID_706
320615 1 48092101 48092250 ID_707
320627 1 48093901 48094050 ID_708
320628 1 48094051 48094200 ID_709
320629 1 48094201 48094350 ID_710
320710 1 48106351 48106500 ID_711
320905 1 48135601 48135750 ID_712
322420 1 48362851 48363000 ID_713
322421 1 48363001 48363150 ID_714
324261 1 48639001 48639150 ID_715
324492 1 48673651 48673800 ID_716
324770 1 48715351 48715500 ID_717
324919 1 48737701 48737850 ID_718
324920 1 48737851 48738000 ID_719
324921 1 48738001 48738150 ID_720
324944 1 48741451 48741600 ID_721
324945 1 48741601 48741750 ID_722
326543 1 48981301 48981450 ID_723
327481 1 49122001 49122150 ID_724
328812 1 49321651 49321800 ID_725
328813 1 49321801 49321950 ID_726
328815 1 49322101 49322250 ID_727
330834 1 49624951 49625100 ID_728
330881 1 49632001 49632150 ID_729
330882 1 49632151 49632300 ID_730
331749 1 49762201 49762350 ID_731
331750 1 49762351 49762500 ID_732
331879 1 49781701 49781850 ID_733
331881 1 49782001 49782150 ID_734
332288 1 49843051 49843200 ID_735
333819 1 50072701 50072850 ID_736
334402 1 50160151 50160300 ID_737
334403 1 50160301 50160450 ID_738
335042 1 50256151 50256300 ID_739
336433 1 50464801 50464950 ID_740
338354 1 50752951 50753100 ID_741
338355 1 50753101 50753250 ID_742
338449 1 50767201 50767350 ID_743
339193 1 50878801 50878950 ID_744
339347 1 50901901 50902050 ID_745
342943 1 51441301 51441450 ID_746
343127 1 51468901 51469050 ID_747
346012 1 51901651 51901800 ID_748
347197 1 52079401 52079550 ID_749
347489 1 52123201 52123350 ID_750
350602 1 52590151 52590300 ID_751
350603 1 52590301 52590450 ID_752
351964 1 52794451 52794600 ID_753
352344 1 52851451 52851600 ID_754
352872 1 52930651 52930800 ID_755
352918 1 52937551 52937700 ID_756
352919 1 52937701 52937850 ID_757
353024 1 52953451 52953600 ID_758
353025 1 52953601 52953750 ID_759
354119 1 53117701 53117850 ID_760
354223 1 53133301 53133450 ID_761
354224 1 53133451 53133600 ID_762
354225 1 53133601 53133750 ID_763
354230 1 53134351 53134500 ID_764
354570 1 53185351 53185500 ID_765
354906 1 53235751 53235900 ID_766
354907 1 53235901 53236050 ID_767
354908 1 53236051 53236200 ID_768
354922 1 53238151 53238300 ID_769
355529 1 53329201 53329350 ID_770
355931 1 53389501 53389650 ID_771
355932 1 53389651 53389800 ID_772
355933 1 53389801 53389950 ID_773
356701 1 53505001 53505150 ID_774
356702 1 53505151 53505300 ID_775
356703 1 53505301 53505450 ID_776
